trades,win_rate,loss_rate,be_rate,avg_r,median_r,avg_winner_r,median_winner_r,avg_loser_r,median_loser_r,realized_rr,profit_factor,gross_profit,gross_loss,net_pnl,expectancy_r,max_dd_r,max_dd_pct,longest_losing_streak,worst_day_r,worst_week_r,worst_month_r,stdev_r,downside_dev_r,avg_mfe_r,avg_mae_r,median_mfe_r,median_mae_r,pct_reach_0p5r,pct_reach_1r,pct_reach_2r,pct_stopped_before_0p5r,ambiguous_share,halt_share,participation_capped_share,sessions,variant,year
4,0.0,1.0,0.0,-2.758834045763458,-2.1223491569255333,,,-2.758834045763458,-2.1223491569255333,,0.0,0.0,34.99428014847807,-34.99428014847807,-2.758834045763458,-11.035336183053833,,4,-6.691220046834272,-6.691220046834272,-6.691220046834272,2.8907231268393097,2.8907231268393097,1.0365140616278141,-1.422624282893762,1.1026903846507947,-1.2382384314661057,0.75,0.75,0.0,0.25,0.25,0.0,0.5,4,E,2016
5,0.0,1.0,0.0,-2.4033054974290984,-2.352779860801863,,,-2.4033054974290984,-2.352779860801863,,0.0,0.0,144.15926254118847,-144.15926254118847,-2.4033054974290984,-12.016527487145492,,5,-5.53077118861404,-5.53077118861404,-5.53077118861404,0.40483774522387717,0.40483774522387717,0.058325950230857015,-3.4537062924987842,0.0,-1.8092261533562533,0.0,0.0,0.0,1.0,0.4,0.0,0.0,3,E,2017
15,0.06666666666666667,0.9333333333333333,0.0,-1.719726173633224,-1.959184868859083,1.1609737617049816,1.1609737617049816,-1.9254904547288103,-2.004679151796186,0.6029496323151056,0.05680791585946389,22.49967150184269,396.0657799434895,-373.56610844164675,-1.719726173633224,-25.795892604498363,,10,-4.100346869466579,-4.100346869466579,-6.5827748273845526,1.0587463119935439,0.8561700932768151,0.5552139378138922,-1.8184006321818358,0.3635834064391601,-1.642965603357982,0.26666666666666666,0.2,0.06666666666666667,0.7333333333333333,0.13333333333333333,0.0,0.0,13,E,2018
9,0.3333333333333333,0.6666666666666666,0.0,-1.0322012578662707,-2.0712341720646474,0.8946566056096578,0.9187945746801284,-1.995630189604235,-2.2928821865725504,0.44830781287543175,0.3562855316616966,44.08377918260766,123.73160082309062,-79.64782164048295,-1.0322012578662707,-9.289811320796437,,3,-2.386532062716327,-4.356132996869267,-4.356132996869267,1.5637914723752693,1.157114449586783,1.4691027583022829,-1.6639321700600032,0.9940446583812008,-1.6054420622097916,0.5555555555555556,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.2222222222222222,6,E,2019
17,0.058823529411764705,0.8823529411764706,0.058823529411764705,-1.9276342145363923,-1.983648371160945,0.42645879390685,0.42645879390685,-2.210886520694752,-2.161433058240655,0.1928904038787296,0.01017596892527781,3.914891728064857,384.7193084817698,-380.80441675370497,-1.9276342145363923,-33.19624044102552,,16,-7.466716339702,-7.466716339702,-7.676311624168987,1.1353753886324178,1.0836442589005195,0.7790078664530973,-1.5834534533770155,0.2727191254599792,-1.5666774460433934,0.47058823529411764,0.29411764705882354,0.17647058823529413,0.5294117647058824,0.29411764705882354,0.11764705882352941,0.17647058823529413,15,E,2020
31,0.06451612903225806,0.8709677419354839,0.06451612903225806,-1.6081927565223275,-1.9046216277457884,0.8088707274962823,0.8088707274962823,-1.9094885774907977,-1.9791484622973303,0.4236059524164294,0.02921961788253172,23.114329303423208,791.055153299646,-767.9408239962229,-1.6081927565223275,-49.85397545219215,,13,-5.243291402702107,-6.1762778871409,-8.854128646839012,1.0622608628105308,0.946846261231395,0.609042495044998,-1.925563639498551,0.0899250532899247,-1.7187550114704837,0.3870967741935484,0.2903225806451613,0.06451612903225806,0.6129032258064516,0.22580645161290322,0.0,0.03225806451612903,25,E,2021
21,0.14285714285714285,0.8571428571428571,0.0,-1.999150635497449,-2.50235458927978,0.5721724760861743,0.3420307499024733,-2.427704487428053,-2.504599662518229,0.23568456500747442,0.0696380079752154,34.25448608028653,491.89353739811054,-457.639051317824,-1.999150635497449,-42.3241940953489,-12374.382744071178,14,-5.629678035855405,-8.294351023210103,-9.997204217914803,1.2517377913800267,1.0690078230871995,0.866917987510847,-2.038471409169949,0.0831086119961045,-1.9545549404909712,0.3333333333333333,0.2857142857142857,0.19047619047619047,0.6666666666666666,0.38095238095238093,0.0,0.047619047619047616,17,E,2022
16,0.25,0.6875,0.0625,-1.3330165414865354,-1.697469816621191,1.021359520506284,1.0242683875674368,-2.3121201638446687,-2.0193729048790185,0.4417415394223863,0.352580707525503,88.57508803955047,251.2193269484083,-162.6442389088579,-1.3330165414865354,-22.413843875012,,6,-7.485366789468201,-5.469461152444705,-5.469461152444705,2.1585424439888588,1.8922079303140948,1.1650535675950822,-1.7098827026186905,0.8683129358002865,-1.3677661512588615,0.5625,0.4375,0.25,0.4375,0.25,0.0625,0.1875,15,E,2023
13,0.15384615384615385,0.7692307692307693,0.07692307692307693,-1.337979821515905,-1.6509793510803137,1.0144880505964247,1.0144880505964247,-1.9384424839717103,-2.1951644183051964,0.5233521546214884,0.13057865026750531,37.05649942281357,283.7868161977405,-246.73031677492693,-1.337979821515905,-17.393737679706767,,7,-2.7782532930576265,-4.402959672763132,-6.702583178643887,1.35661899276059,1.0906445103136455,0.6476995015026795,-1.6858010628926974,0.0141083378538499,-1.5000096188884795,0.38461538461538464,0.3076923076923077,0.15384615384615385,0.6153846153846154,0.15384615384615385,0.0,0.0,13,E,2024
11,0.2727272727272727,0.7272727272727273,0.0,-1.362311351915219,-1.9581759750275456,0.8639271069757329,0.9293045242225234,-2.1971507739993257,-2.199241992892658,0.39320337830215657,0.1939119892443693,46.08167675101552,237.64222589116474,-191.56054914014922,-1.362311351915219,-15.914729395289932,-1712.5419042379615,5,-2.8393909560319184,-2.8393909560319184,-5.507914125528222,1.4804040680968913,1.092350453512594,0.8045476278930781,-1.9139902713539614,0.4317722262579489,-2.021864137378434,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.5454545454545454,0.18181818181818182,0.0,0.09090909090909091,10,E,2025
