variant,parameter,value,shipped,trades,expectancy_r,win_rate,profit_factor,max_dd_r,ci_lo,ci_hi
F,max_retracement_pct,30.0,False,352,-1.729161239275053,0.13636363636363635,0.0736056278126466,-608.6647562248187,-1.87794235375566,-1.587192448510244
F,max_retracement_pct,40.0,False,908,-1.6285227972296714,0.14757709251101322,0.07683224210984395,-1478.6986998845416,-1.7237102213322077,-1.5328557846692143
F,max_retracement_pct,50.0,True,1542,-1.6257824616133694,0.1549935149156939,0.07895812595699662,-2506.9565558078157,-1.6972275812299369,-1.5534056280642434
F,max_retracement_pct,60.0,False,2004,-1.6221391672177752,0.156686626746507,0.08265760442527074,-3251.3152459537873,-1.6830671963863921,-1.5577785306137333
F,max_retracement_pct,70.0,False,2258,-1.6039903614978324,0.15810451727192207,0.08415268827701052,-3622.358591111471,-1.6632058336154902,-1.5437759090344931
F,min_push_pct,3.0,False,2235,-1.767578397603677,0.14272930648769575,0.07408086873542216,-3950.537718644218,-1.8334141996823845,-1.7004574537387747
F,min_push_pct,4.0,False,1867,-1.7107045203238789,0.1472951258703803,0.07639777887252674,-3193.885339444682,-1.7802205909102455,-1.6414326700729394
F,min_push_pct,5.0,True,1542,-1.6257824616133694,0.1549935149156939,0.07895812595699662,-2506.9565558078157,-1.6972275812299369,-1.5534056280642434
F,min_push_pct,6.5,False,1192,-1.5376920225416355,0.1644295302013423,0.08711265308698926,-1832.9288908696296,-1.6182500062386742,-1.4590539112598766
F,min_push_pct,8.0,False,898,-1.5011345959343143,0.16703786191536749,0.08561568772687621,-1348.0188671490143,-1.5926197015328265,-1.4074051239082237
F,min_room_r,0.0,False,1885,-1.5544316293694382,0.1687002652519894,0.08635294620468802,-2930.103621361391,-1.6174278984695383,-1.4896677518044226
F,min_room_r,0.5,False,1742,-1.583282818414851,0.16475315729047071,0.08384985972369002,-2758.0786696786704,-1.6505760873787327,-1.5145404573009504
F,min_room_r,1.0,True,1542,-1.6257824616133694,0.1549935149156939,0.07895812595699662,-2506.9565558078157,-1.6972275812299369,-1.5534056280642434
F,min_room_r,1.5,False,1396,-1.6523082338479886,0.1489971346704871,0.07840206355601964,-2306.622294451792,-1.724455131910818,-1.5783191918530945
F,min_room_r,2.0,False,1288,-1.6863297648229723,0.13819875776397517,0.07207963301150708,-2171.992737091988,-1.7615149668132526,-1.609493714840395
F,reward_multiple,1.5,False,1544,-1.630515057554882,0.18329015544041452,0.07217477878771772,-2517.5152488647377,-1.7017048440631763,-1.5593029957002926
F,reward_multiple,2.0,True,1542,-1.6257824616133694,0.1549935149156939,0.07895812595699662,-2506.9565558078157,-1.6972275812299369,-1.5534056280642434
F,reward_multiple,2.5,False,1532,-1.6363842825656498,0.12989556135770236,0.07960270519166919,-2506.9407208905754,-1.7086526973287572,-1.5647103720017268
F,reward_multiple,3.0,False,1526,-1.633383342723622,0.12123197903014417,0.08355549160639006,-2492.542980996247,-1.706898459204298,-1.5602491973158348
F,reward_multiple,4.0,False,1520,-1.6373141416966828,0.1006578947368421,0.08092665977573527,-2488.7174953789577,-1.7124130958120118,-1.5657770899833567
