trades,win_rate,loss_rate,be_rate,avg_r,median_r,avg_winner_r,median_winner_r,avg_loser_r,median_loser_r,realized_rr,profit_factor,gross_profit,gross_loss,net_pnl,expectancy_r,max_dd_r,max_dd_pct,longest_losing_streak,worst_day_r,worst_week_r,worst_month_r,stdev_r,downside_dev_r,avg_mfe_r,avg_mae_r,median_mfe_r,median_mae_r,pct_reach_0p5r,pct_reach_1r,pct_reach_2r,pct_stopped_before_0p5r,ambiguous_share,halt_share,participation_capped_share,sessions,bucket,variant,cut
33,0.12121212121212122,0.8787878787878788,0.0,-1.9782711747097996,-2.1356392734587617,0.8243118929933791,0.7807560322809481,-2.3648343564619614,-2.361842519388568,0.34857066869860415,0.08722874003233516,56.06506658730178,642.7361734964737,-586.671106909172,-1.9782711747097996,-65.28294876542338,,11.0,-12.861756474158497,-20.764759423766655,-44.51818934165672,2.06244245695617,1.9343726135794357,1.0477550036319279,-2.2110428326676645,0.3094549845150223,-1.8561596990290032,0.45454545454545453,0.3939393939393939,0.21212121212121213,0.5454545454545454,0.3333333333333333,0.030303030303030304,0.06060606060606061,14.0,5-8,A,push_pct
14,0.21428571428571427,0.7857142857142857,0.0,-1.526781842111919,-1.9927759175795472,0.5446676919293182,0.5710078106799986,-2.091722624123166,-2.529338609595717,0.2603919303868689,0.10006311051405074,25.811917417243215,257.95637657714764,-232.14445915990441,-1.526781842111919,-21.374945789566866,,8.0,-3.0512247115852302,-10.11560669816268,-11.259339091404188,1.4310518096549203,1.2478326470652008,0.6380469566315432,-1.976566584706856,0.0,-1.8729547326160274,0.35714285714285715,0.35714285714285715,0.14285714285714285,0.6428571428571429,0.21428571428571427,0.0,0.0,12.0,8-15,A,push_pct
2,0.5,0.5,0.0,-0.1562752123481984,-0.1562752123481984,1.2118494106346531,1.2118494106346531,-1.52439983533105,-1.52439983533105,0.794968211454496,0.771311827956692,27.086492909729238,35.1174349050046,-8.030941995275363,-0.1562752123481984,-1.52439983533105,-125.79119335732582,1.0,-1.52439983533105,-1.52439983533105,-1.52439983533105,1.934820396838926,1.0779134608022418,1.285464921984881,-1.7263236896113463,1.285464921984881,-1.7263236896113463,0.5,0.5,0.5,0.5,0.5,0.0,0.0,2.0,>15,A,push_pct
8,0.0,1.0,0.0,-2.059432885022969,-2.3606247078259823,,,-2.059432885022969,-2.3606247078259823,,0.0,0.0,166.2209506955783,-166.2209506955783,-2.059432885022969,-16.47546308018375,,8.0,-8.445196171902598,-8.445196171902598,-8.445196171902598,1.1411156544149292,1.1411156544149292,0.7747699351912615,-1.899760284227713,0.01750271587282415,-1.8459929281742355,0.375,0.25,0.25,0.625,0.25,0.125,0.125,5.0,<2,A,rvol
3,0.0,1.0,0.0,-1.575136578143488,-1.717052610595064,,,-1.575136578143488,-1.717052610595064,,0.0,0.0,53.37236718432485,-53.37236718432485,-1.575136578143488,-4.725409734430464,,3.0,-2.3847286511000485,-2.3847286511000485,-2.3847286511000485,0.8890858112461024,0.8890858112461024,0.5276456080666041,-1.6391230287321799,0.0,-1.7500982491578578,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,3.0,2-5,A,rvol
14,0.5,0.5,0.0,-0.8845026703034595,-0.5947396225294126,0.7768508311606129,0.8563678242900633,-2.5458561717675323,-1.850515841894624,0.30514325191484104,0.5089452798692122,99.37508143427638,195.25690750057373,-95.88182606629735,-0.8845026703034595,-14.210175747330515,-777.7284979863422,2.0,-5.819173895108249,-6.461819084101949,-12.954045194928433,1.992014999767733,1.6332377688289295,1.3610795985426034,-2.0111546239930633,1.466462641409099,-1.4144779116636452,0.6428571428571429,0.5714285714285714,0.42857142857142855,0.35714285714285715,0.14285714285714285,0.0,0.0,8.0,>5,A,rvol
45,0.17777777777777778,0.8222222222222222,0.0,-1.7389318969991132,-1.850515841894624,0.7678875072995155,0.7807560322809481,-2.280946903333952,-2.361842519388568,0.3366529515339137,0.12722431768813883,108.96347691427422,856.4673711308332,-747.5038942165589,-1.7389318969991132,-78.25193536496009,,15.0,-12.612179975281483,-25.43071145360473,-52.82122391135538,1.9361255148798184,1.7649385570587663,0.9647296606871195,-2.07500361074118,0.0817113564767605,-1.8358261573194676,0.4222222222222222,0.4,0.2,0.5777777777777777,0.3111111111111111,0.022222222222222223,0.022222222222222223,17.0,0,A,confluence
3,0.0,1.0,0.0,-1.6031657624179985,-1.7444551110708748,,,-1.6031657624179985,-1.7444551110708748,,0.0,0.0,64.03838532241578,-64.03838532241578,-1.6031657624179985,-4.809497287253995,,3.0,-2.9956882332609607,-3.06504217618312,-3.06504217618312,1.468274533163073,1.468274533163073,0.8888892085815349,-2.118391352012012,0.5293017367008749,-1.890690308860313,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,3.0,1,A,confluence
1,0.0,1.0,0.0,-3.909012327472534,-3.909012327472534,,,-3.909012327472534,-3.909012327472534,,0.0,0.0,15.304228525376868,-15.304228525376868,-3.909012327472534,-3.909012327472534,,1.0,-3.909012327472534,-3.909012327472534,-3.909012327472534,,,0.0,-4.35865650376246,0.0,-4.35865650376246,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2+,A,confluence
9,0.1111111111111111,0.8888888888888888,0.0,-2.413459974980659,-2.191910806056247,0.5019751205853643,0.5019751205853643,-2.7778893619264116,-2.2883197285781476,0.1807037844866703,0.023526105809157854,4.607338797489891,195.83941494033502,-191.23207614284513,-2.413459974980659,-21.72113977482593,,4.0,-9.567270995283229,-11.951999646383278,-11.951999646383278,2.867669065970502,2.808140767498408,0.6417695558919707,-2.3383456387106323,0.0,-1.8358261573194676,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.5555555555555556,0.2222222222222222,0.0,0.0,7.0,2-5,B,price
