trades,win_rate,loss_rate,be_rate,avg_r,median_r,avg_winner_r,median_winner_r,avg_loser_r,median_loser_r,realized_rr,profit_factor,gross_profit,gross_loss,net_pnl,expectancy_r,max_dd_r,max_dd_pct,longest_losing_streak,worst_day_r,worst_week_r,worst_month_r,stdev_r,downside_dev_r,avg_mfe_r,avg_mae_r,median_mfe_r,median_mae_r,pct_reach_0p5r,pct_reach_1r,pct_reach_2r,pct_stopped_before_0p5r,ambiguous_share,halt_share,participation_capped_share,sessions,window,variant
13,0.3076923076923077,0.6153846153846154,0.07692307692307693,-0.8293711554768605,-1.433708279513076,0.8883310634216806,0.9709996509418581,-1.7871075417129245,-1.9008399554512962,0.49707756398936365,0.30087478217807295,66.8215724141813,222.09097063718988,-155.26939822300858,-0.8293711554768605,-11.89932876900006,,3.0,-2.6761459086798407,-2.6761459086798407,-3.3918842545406216,1.42533309353541,1.0832466774881,0.9922759166198017,-1.4467580164709224,0.7357514581619136,-1.4031921874276825,0.5384615384615384,0.46153846153846156,0.3076923076923077,0.46153846153846156,0.38461538461538464,0.0,0.15384615384615385,13.0,09:30-10:00,E
1,0.0,1.0,0.0,-0.1229817964975378,-0.1229817964975378,,,-0.1229817964975378,-0.1229817964975378,,0.0,0.0,2.3373674372869075,-2.3373674372869075,-0.1229817964975378,-0.1229817964975378,,1.0,-0.1229817964975378,-0.1229817964975378,-0.1229817964975378,,,1.4226828610984137,-1.3133240310378975,1.4226828610984137,-1.3133240310378975,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10:00-10:30,E
4,0.25,0.75,0.0,-1.8613572782238037,-2.514344031954011,0.6497820190434824,0.6497820190434824,-2.6984037106462324,-2.8622497877902173,0.24080237381821126,0.10336638702878406,8.011812294806125,77.50887425885462,-69.4970619640485,-1.8613572782238037,-8.095211131938697,,3.0,-5.928772855820894,-5.928772855820894,-5.928772855820894,1.7178577145370155,1.4031371471375187,0.883437804056016,-1.9381678658812445,0.6838231236822016,-1.8927799750552052,0.5,0.5,0.25,0.5,0.5,0.0,0.0,3.0,10:30-11:30,E
20,0.1,0.9,0.0,-1.7936679425634665,-2.040118536165019,0.640250817800846,0.640250817800846,-2.064103360381724,-2.1217159994179804,0.3101835063542756,0.04526157069255549,22.087608463408863,487.9991596721537,-465.91155120874487,-1.7936679425634665,-35.87335885126933,,13.0,-3.4502068660018232,-5.723764916467486,-7.851167044315847,1.0691209251156906,0.9182420671212779,0.7060422164876787,-2.133259190172573,0.27421929449426796,-1.9192101072363696,0.4,0.25,0.15,0.6,0.3,0.0,0.05,20.0,11:30-16:00,E
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premarket,E
61,0.21311475409836064,0.7540983606557377,0.03278688524590164,-1.3407510611915772,-1.7677211572444684,0.8022118875195143,1.012694777661193,-2.0039778956340744,-1.9584501250017838,0.4003097485592216,0.16399568554678054,192.88341314732634,1176.1493145641655,-983.2659014168389,-1.3407510611915772,-81.7858147326862,,15.0,-7.258080231051596,-7.258080231051596,-11.843007004201633,1.3706821376254563,1.1009412789185444,0.8756786630755772,-1.889367739324442,0.4999820123064736,-1.666679397676442,0.4918032786885246,0.3442622950819672,0.19672131147540983,0.5081967213114754,0.39344262295081966,0.0,0.04918032786885246,51.0,09:30-10:00,F
22,0.045454545454545456,0.9545454545454546,0.0,-1.8938560964650413,-2.2867224425654467,0.274993363845044,0.274993363845044,-1.9971346421940932,-2.300119314814768,0.13769395314425603,0.0047049445016631814,2.1999469107603247,467.5819045224978,-465.38195761173745,-1.8938560964650413,-41.66483412223091,,14.0,-3.57079964756816,-5.037839649851395,-5.8709189623829285,1.1170054137383858,1.092857080780867,0.5252786147561443,-1.8054840831860481,0.09693777096938055,-1.86069755948191,0.36363636363636365,0.2727272727272727,0.045454545454545456,0.6363636363636364,0.18181818181818182,0.0,0.045454545454545456,22.0,10:00-10:30,F
33,0.12121212121212122,0.8181818181818182,0.06060606060606061,-1.8888319941041105,-2.2372856942694423,0.5163452166618293,0.5774596520393096,-2.384492950034083,-2.384481357230907,0.2165429831337723,0.042477805517586925,30.989040013395815,729.5348626370433,-698.5458226236475,-1.8888319941041105,-62.331455805435645,,18.0,-5.598978186979547,-5.598978186979547,-8.42149375596976,1.3300454987387766,1.2146494161934456,1.0380584839570066,-2.0826354907975486,0.1666474748188487,-2.080041094466237,0.3939393939393939,0.30303030303030304,0.15151515151515152,0.6060606060606061,0.30303030303030304,0.0,0.030303030303030304,32.0,10:30-11:30,F
163,0.13496932515337423,0.8466257668711656,0.018404907975460124,-1.7773065873650686,-2.1090100089069166,0.7171032504201796,0.7626133156770548,-2.2133181440553766,-2.28409354082853,0.32399465587276993,0.07345849419951499,277.19513395723135,3773.4932764121586,-3496.298142454928,-1.7773065873650686,-289.7009737405062,,26.0,-10.890349068719484,-21.35977675164517,-37.774778782019695,1.3577923427899485,1.185845035129164,0.8378855564628894,-1.9386396831345813,0.2466037533114415,-1.8431326028241868,0.3987730061349693,0.2883435582822086,0.15337423312883436,0.6012269938650306,0.3619631901840491,0.006134969325153374,0.0,116.0,11:30-16:00,F
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premarket,F
