trades,win_rate,loss_rate,be_rate,avg_r,median_r,avg_winner_r,median_winner_r,avg_loser_r,median_loser_r,realized_rr,profit_factor,gross_profit,gross_loss,net_pnl,expectancy_r,max_dd_r,max_dd_pct,longest_losing_streak,worst_day_r,worst_week_r,worst_month_r,stdev_r,downside_dev_r,avg_mfe_r,avg_mae_r,median_mfe_r,median_mae_r,pct_reach_0p5r,pct_reach_1r,pct_reach_2r,pct_stopped_before_0p5r,ambiguous_share,halt_share,participation_capped_share,sessions,variant,cost_model,ambiguity_policy
1,0.0,1.0,0.0,-1.7444551110708748,-1.7444551110708748,,,-1.7444551110708748,-1.7444551110708748,,0.0,0.0,37.3140557332642,-37.3140557332642,-1.7444551110708748,-1.7444551110708748,,1.0,-1.7444551110708748,-1.7444551110708748,-1.7444551110708748,,,0.5293017367008749,-1.890690308860313,0.5293017367008749,-1.890690308860313,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,D,realistic,pessimistic
1,0.0,1.0,0.0,-1.7444551110708748,-1.7444551110708748,,,-1.7444551110708748,-1.7444551110708748,,0.0,0.0,37.3140557332642,-37.3140557332642,-1.7444551110708748,-1.7444551110708748,,1.0,-1.7444551110708748,-1.7444551110708748,-1.7444551110708748,,,0.5293017367008749,-1.890690308860313,0.5293017367008749,-1.890690308860313,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,D,realistic,optimistic
1,0.0,1.0,0.0,-1.7444551110708748,-1.7444551110708748,,,-1.7444551110708748,-1.7444551110708748,,0.0,0.0,37.3140557332642,-37.3140557332642,-1.7444551110708748,-1.7444551110708748,,1.0,-1.7444551110708748,-1.7444551110708748,-1.7444551110708748,,,0.5293017367008749,-1.890690308860313,0.5293017367008749,-1.890690308860313,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,D,realistic,exclude
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,stressed,pessimistic
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,stressed,optimistic
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,stressed,exclude
1,0.0,1.0,0.0,-1.0,-1.0,,,-1.0,-1.0,,0.0,0.0,21.390092239380174,-21.390092239380174,-1.0,-1.0,,1.0,-1.0,-1.0,-1.0,,,0.8547797453053534,-1.5652123002558345,0.8547797453053534,-1.5652123002558345,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,E,gross,pessimistic
1,0.0,1.0,0.0,-1.0,-1.0,,,-1.0,-1.0,,0.0,0.0,21.390092239380174,-21.390092239380174,-1.0,-1.0,,1.0,-1.0,-1.0,-1.0,,,0.8547797453053534,-1.5652123002558345,0.8547797453053534,-1.5652123002558345,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,E,gross,optimistic
1,0.0,1.0,0.0,-1.0,-1.0,,,-1.0,-1.0,,0.0,0.0,21.390092239380174,-21.390092239380174,-1.0,-1.0,,1.0,-1.0,-1.0,-1.0,,,0.8547797453053534,-1.5652123002558345,0.8547797453053534,-1.5652123002558345,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,E,gross,exclude
1,0.0,1.0,0.0,-1.3754913867443097,-1.3754913867443097,,,-1.3754913867443097,-1.3754913867443097,,0.0,0.0,29.42188763693373,-29.42188763693373,-1.3754913867443097,-1.3754913867443097,,1.0,-1.3754913867443097,-1.3754913867443097,-1.3754913867443097,,,0.7137842406285009,-1.706207804932687,0.7137842406285009,-1.706207804932687,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,E,low,pessimistic
1,0.0,1.0,0.0,-1.3754913867443097,-1.3754913867443097,,,-1.3754913867443097,-1.3754913867443097,,0.0,0.0,29.42188763693373,-29.42188763693373,-1.3754913867443097,-1.3754913867443097,,1.0,-1.3754913867443097,-1.3754913867443097,-1.3754913867443097,,,0.7137842406285009,-1.706207804932687,0.7137842406285009,-1.706207804932687,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,E,low,optimistic
1,0.0,1.0,0.0,-1.3754913867443097,-1.3754913867443097,,,-1.3754913867443097,-1.3754913867443097,,0.0,0.0,29.42188763693373,-29.42188763693373,-1.3754913867443097,-1.3754913867443097,,1.0,-1.3754913867443097,-1.3754913867443097,-1.3754913867443097,,,0.7137842406285009,-1.706207804932687,0.7137842406285009,-1.706207804932687,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,E,low,exclude
